new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,1,1,1,1,0,0,0,1,0,21.556
4,1,1,1,1,0,0,0,1,1,21.586
4,1,1,1,1,0,0,0,0,0,21.636
4,1,1,1,1,1,0,0,0,1,21.65
4,1,1,1,1,1,0,0,0,0,21.678
4,1,1,1,1,0,0,0,0,1,21.694
4,1,1,1,1,1,0,0,1,0,21.698
4,1,1,1,1,1,1,0,0,1,21.714
4,1,1,1,1,0,1,0,0,1,21.758
4,1,1,1,1,0,1,0,1,1,21.772
4,1,1,1,1,1,1,0,1,1,21.906
4,1,1,1,1,1,1,0,0,0,21.942
4,1,1,1,1,1,0,0,1,1,21.97
4,1,1,1,1,0,1,0,0,0,22.018
4,1,1,1,0,1,0,0,1,0,22.138
4,1,1,1,0,1,0,0,0,0,22.142
4,1,1,1,1,1,1,0,1,0,22.168
4,1,1,1,0,1,0,0,0,1,22.172
4,1,1,1,0,1,0,0,1,1,22.19
4,1,1,1,0,0,0,0,1,1,22.248
4,1,1,1,0,0,0,0,0,1,22.254
4,1,2,1,1,0,0,0,1,1,22.29
4,1,1,1,0,0,0,0,0,0,22.312
4,1,2,1,1,0,0,0,0,0,22.312
4,1,2,1,1,0,0,0,0,1,22.34
4,1,2,1,1,0,0,0,1,0,22.394
4,1,1,1,0,1,1,0,1,0,22.396
4,1,2,1,1,0,1,0,1,1,22.432
4,1,1,1,0,0,0,0,1,0,22.452
4,1,2,1,1,1,0,0,1,1,22.452
4,1,2,1,1,1,0,0,0,1,22.476
4,1,2,1,1,0,1,0,0,1,22.486
4,1,1,1,0,0,1,0,1,0,22.492
4,1,1,1,0,1,1,0,0,1,22.496
4,1,1,1,0,1,1,0,1,1,22.522
4,1,2,1,1,0,1,0,1,0,22.554
4,1,2,1,1,1,1,0,0,0,22.59
4,1,1,1,0,0,1,0,1,1,22.622
4,1,2,1,1,1,0,0,0,0,22.626
4,1,1,1,0,0,1,0,0,1,22.646
4,1,2,1,1,1,1,0,1,1,22.664
4,1,1,1,0,1,1,0,0,0,22.746
4,1,2,1,1,0,0,1,0,0,22.78
4,1,1,1,1,0,0,1,0,0,22.794
4,1,2,1,1,1,1,0,0,1,22.816
4,1,2,1,1,0,1,0,0,0,22.842
4,1,2,1,1,1,0,0,1,0,22.854
4,1,2,1,0,0,0,0,1,1,22.866
4,1,2,1,0,0,0,0,0,0,22.874
4,1,2,1,0,0,0,0,0,1,22.878
4,1,2,1,1,0,0,1,1,1,22.904
4,1,3,1,1,1,0,1,1,0,22.92
4,1,1,1,1,0,0,1,0,1,22.928
4,1,3,1,1,0,0,1,1,0,22.934
4,1,2,1,1,0,0,1,0,1,22.97
4,1,3,1,1,0,0,0,0,1,22.982
4,1,3,1,1,0,0,0,0,0,22.984
4,1,3,1,1,0,0,1,0,0,22.99
4,1,1,1,1,0,0,1,1,0,22.996
4,1,2,1,0,1,1,0,0,1,22.998
4,1,3,1,1,0,1,1,0,0,23.002
4,1,2,1,1,1,0,1,0,0,23.01
4,1,2,1,0,1,0,0,1,1,23.018
4,1,2,1,1,0,1,1,0,0,23.02
4,1,1,1,0,0,1,0,0,0,23.034
4,1,3,1,1,0,0,1,0,1,23.036
4,1,3,1,1,0,0,0,1,1,23.048
4,1,3,1,1,1,0,1,0,1,23.056
4,1,3,1,1,0,0,0,1,0,23.06
4,1,2,1,1,1,1,1,1,0,23.062
4,1,1,1,1,0,1,1,0,0,23.082
4,1,3,1,1,0,1,1,0,1,23.082
4,1,2,1,1,1,1,0,1,0,23.092
4,1,2,1,0,1,0,0,1,0,23.096
4,1,1,1,1,1,1,1,1,0,23.102
4,1,2,1,0,1,0,0,0,1,23.106
4,1,2,1,0,0,1,0,0,1,23.114
4,1,2,1,1,0,0,1,1,0,23.12
4,1,3,1,1,0,1,1,1,0,23.132
4,1,2,1,0,0,0,0,1,0,23.148
4,1,2,1,1,1,1,1,0,0,23.148
4,1,3,1,1,1,0,0,1,1,23.162
4,1,1,1,1,1,1,1,0,0,23.178
4,1,3,1,1,1,1,1,0,0,23.178
4,1,2,1,0,0,1,0,1,1,23.184
4,1,1,0,1,0,0,0,0,1,23.186
4,1,1,1,1,0,1,1,1,0,23.192
4,1,1,1,1,0,1,1,0,1,23.192
4,1,2,1,0,1,1,0,0,0,23.194
4,1,2,1,1,0,1,1,1,0,23.194
4,1,2,1,0,1,0,0,0,0,23.2
4,1,3,1,1,1,0,0,0,1,23.204
4,1,1,0,1,1,1,0,0,1,23.206
4,1,1,1,1,1,0,1,1,0,23.212
4,1,3,1,1,0,1,0,0,1,23.216
4,1,1,0,1,1,1,0,0,0,23.232
4,1,3,1,1,0,1,0,1,1,23.238
4,1,1,1,1,1,1,1,0,1,23.24
4,1,1,0,1,1,1,0,1,0,23.242
4,1,3,1,1,1,0,0,0,0,23.244
